noun,gender,agrees,other,plural
cierta,f,1,0,0
tendencia,f,1,0,0
impaciencia,f,1,0,0
interferencia,f,1,0,0
intransigencia,f,1,0,0
momento,m,1,0,1
reflexion,f,0,1,1
respuesta,f,1,0,0
contestacion,f,0,1,0
mano,f,0,0,0
desayuno,m,1,0,0
ojo,m,1,0,1
pedazo,m,1,0,0
papel,m,0,1,0
luz,f,0,1,0
exterior,m,0,1,0
envoltura,f,1,0,0
letra,f,1,0,0
ocasion,f,0,1,1
punta,f,1,0,0
importancia,f,1,0,0
incomodidad,f,0,1,0
interes,m,0,1,0
palabra,f,1,0,1
senal,f,0,1,0
identidad,f,0,1,0
personalidad,f,0,1,0
carta,f,1,0,0
nombre,m,0,1,0
rastro,m,1,0,0
millon,m,0,1,0
persona,f,1,0,1
ciudad,f,0,1,0
hombre,m,0,1,0
contacto,m,1,0,0
pez,m,0,1,0
tiburon,m,0,1,0
chacal,m,0,1,0
leon,m,0,1,0
cosa,f,1,0,0
compania,f,1,0,0
nivel,m,0,1,0
cientifico,m,1,0,0
delincuente,m,0,1,1
vida,f,1,0,0
tono,m,1,0,0
disconformidad,f,0,1,0
punto,m,1,0,0
publico,m,1,0,0
manera,f,1,0,0
repentino,m,1,0,0
sentido,m,1,0,0
ingenio,m,1,0,0
calumnia,f,1,0,0
ley,f,0,1,0
gloria,f,1,0,0
maravilla,f,1,0,0
conspirador,m,0,1,0
tiempo,m,1,0,1
promotor,m,0,1,0
perversidad,f,0,1,0
cerebro,m,1,0,0
submundo,m,1,0,0
destino,m,1,0,0
nacion,f,0,1,1
sospecha,f,1,0,0
critica,f,1,0,0
artimana,f,1,0,1
actuacion,f,0,1,1
pension,f,0,1,0
compensacion,f,0,1,0
autor,m,0,1,0
dinamica,f,1,0,1
asteroide,m,0,1,0
cuestion,f,0,1,1
matematica,f,1,0,0
prensa,f,1,0,0
profesor,m,0,1,0
role,m,0,1,1
sabio,m,1,0,0
inteligencia,f,1,0,0
devocion,f,0,1,0
elemento,m,1,0,0
cadena,f,1,0,0
distancia,f,1,0,0
inquietud,f,0,1,0
imperfeccion,f,0,1,0
nexo,m,1,0,0
aspiracion,f,0,1,1
derecho,m,1,0,0
cheque,m,0,1,0
libra,f,1,0,1
canal,m,0,1,1
par,m,0,1,0
informacion,f,0,1,0
utilidad,f,0,1,0
crimen,m,0,1,0
duda,f,1,0,0
clave,f,0,1,0